atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
"Np', 'Np', 'Co', 'Co', 'Co', 'Co'","0.87500000', '0.12500000', '0.50000000', '0.50000000', '0.00000000', '0.50000000'","0.87500000', '0.12500000', '0.50000000', '0.50000000', '0.50000000', '0.00000000'","0.87500000', '0.12500000', '0.50000000', '0.00000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Te', 'Te', 'Pd', 'Pd'","0.33333300', '0.66666700', '0.00000000', '0.00000000'","0.66666700', '0.33333300', '0.00000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Sn', 'Sn'","0.75000000', '0.50000000'","0.75000000', '0.50000000'","0.75000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Ho', 'Te'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Ag', 'Ag', 'Ag', 'Ag', 'O', 'O'","0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.00000000', '0.50000000'","0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.00000000', '0.50000000'","0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Si', 'Si'","0.25000000', '0.00000000'","0.25000000', '0.00000000'","0.25000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Cr', 'Cr'","0.33333300', '0.66666700'","0.66666700', '0.33333300'","0.25000000', '0.75000000'","[.,.75 05 025 075 025 [.25 00 075"
"La', 'As'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'O'","0.66840500', '0.00000000', '0.66840500', '0.33159500', '0.00000000', '0.33159500', '0.00000000'","0.66840500', '0.66840500', '0.00000000', '0.33159500', '0.33159500', '0.00000000', '0.00000000'","0.26084200', '0.73915800', '0.73915800', '0.73915800', '0.26084200', '0.26084200', '0.00000000'","[.,.6716 05 025 075 025 [.75 075 [.]05 075"
"Th', 'S'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'P', 'P'","0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.33333300', '0.66666700'","0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.66666700', '0.33333300'","0.25000000', '0.75000000', '0.58411900', '0.08411900', '0.41588100', '0.91588100', '0.25000000', '0.75000000'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
"Hg', 'Hg', 'Hg', 'Hg', 'Pt'","0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.00000000'","0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000'","0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"B', 'B', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O'","0.49275400', '0.50724600', '0.17644200', '0.82355800', '0.74057700', '0.25942300', '0.58204200', '0.41795800', '0.84023500', '0.15976500'","0.82355800', '0.17644200', '0.50724600', '0.49275400', '0.74057700', '0.25942300', '0.15976500', '0.84023500', '0.41795800', '0.58204200'","0.56753100', '0.06753100', '0.06753100', '0.56753100', '0.50374600', '0.00374600', '0.41689700', '0.91689700', '0.91689700', '0.41689700'","[.,.67,.25 00 075 025 075 [.]05 05 075"
"Ca', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni'","0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000'","[.75 00 025 075 025 [.,.75"
